Tracker ID,Unit,Plant,Wiki page,Sponsor,Capacity (MW),Status,Region,Country,Subnational unit (province/state),Latitude,Longitude,Parent
G108801,Sanko Yumurtalık power station,Sanko Yumurtalık power station,http://bit.ly/1kphIZd,Sanko Petrokimya Mam. San. Tic.,800,Permitted,non-EU Europe,Turkey,Adana,36.876,35.894,Sanko Holding
G108830,Sarp Golvasi power station,Sarp Golvasi power station,http://bit.ly/1HkFYt8,Sarp Enerji,1200,Cancelled,non-EU Europe,Turkey,Adana,37.368333,35.706111,Sarp Enerji
G108906,Sedef II TES power station,Sedef II TES power station,http://bit.ly/1gRfRIG,"İpekyolu Enerji, Akfen Enerji (50-50 partnership)",600,Cancelled,non-EU Europe,Turkey,Adana,36.843,35.86,"Akfen Group, İpekyolu Enerji"
G110035,Teyo Tufanbeyli power station Unit 1,Teyo Tufanbeyli power station,http://bit.ly/2LjBciu,Teyo Yatırım ve Dış Ticaret A.Ş.,350,Pre-Permit,non-EU Europe,Turkey,Adana,38.2299,36.2481,Teyo Yatırım ve Dış Ticaret A.Ş.
G110036,Teyo Tufanbeyli power station Unit 2,Teyo Tufanbeyli power station,http://bit.ly/2LjBciu,Teyo Yatırım ve Dış Ticaret A.Ş.,350,Pre-Permit,non-EU Europe,Turkey,Adana,38.2299,36.2481,Teyo Yatırım ve Dış Ticaret A.Ş.
G110352,Tufanbeyli power station Unit 1,Tufanbeyli power station,http://bit.ly/1tr9HDn,Enerjisa Enerji Üretim A.Ş.,150,Operating,non-EU Europe,Turkey,Adana,38.18562,36.26994,Enerjisa Enerji Üretim A.Ş.
G110353,Tufanbeyli power station Unit 2,Tufanbeyli power station,http://bit.ly/1tr9HDn,Enerjisa Enerji Üretim A.Ş.,150,Operating,non-EU Europe,Turkey,Adana,38.18562,36.26994,Enerjisa Enerji Üretim A.Ş.
G110354,Tufanbeyli power station Unit 3,Tufanbeyli power station,http://bit.ly/1tr9HDn,Enerjisa Enerji Üretim A.Ş.,150,Operating,non-EU Europe,Turkey,Adana,38.18562,36.26994,Enerjisa Enerji Üretim A.Ş.
G111469,Yüksek Gölovası power station,Yüksek Gölovası power station,http://bit.ly/1ji9t2U,Yuksek Enerji,1200,Shelved,non-EU Europe,Turkey,Adana,37.368333,35.706111,Yuksek Enerji
G111483,Yumurtalık IC İçtaş power station Unit 1,Yumurtalık IC İçtaş power station,http://bit.ly/1o0WXSG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,600,Pre-Permit,non-EU Europe,Turkey,Adana,36.77,35.79,IC İbrahim Çeçen Investment Holding
G113845,Yumurtalık IC İçtaş power station Unit 2,Yumurtalık IC İçtaş power station,http://bit.ly/1o0WXSG,İÇDAŞ Elektrik Enerjisi Üretim ve Yatırım A.Ş.,600,Shelved,non-EU Europe,Turkey,Adana,36.77,35.79,IC İbrahim Çeçen Investment Holding
G108800,Sanko Gölbaşı power station,Sanko Gölbaşı power station,http://bit.ly/1MCavzo,Sanko Energy,150,Cancelled,non-EU Europe,Turkey,Adıyaman,37.8197187,37.7185124,Sanko Holding
G100075,Dinar Uluköy power station,Dinar Uluköy power station,http://bit.ly/2L4pgAX,Turkish Coal Enterprise,3500,Announced,non-EU Europe,Turkey,Afyon,38.064,30.167,TBD
G110461,Uluköy power station,Uluköy power station,http://bit.ly/1mLlsUx,KLK Enerji Üretim A.Ş.,640,Pre-Permit,non-EU Europe,Turkey,Afyon,38.1999839,30.2705505,"Kolin Group, Limak Holding, Kalyon Group"
G103487,Gürmin Enerji Amasya power station,Gürmin Enerji Amasya power station,http://bit.ly/2LbzvUu,Soma Elektrik Üretim,300,Cancelled,non-EU Europe,Turkey,Amasya,40.889,35.597,Soma Holding
G101242,Çayırhan power station Unit 1,Çayırhan power station,http://bit.ly/2heBVWf,Park Enerji,150,Operating,non-EU Europe,Turkey,Ankara,40.097,31.695,Ciner Holding
